City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
212,Lorengau,PG,-2.0226,147.2712,84.09,72,100,5.23,overcast clouds
213,Iqaluit,CA,63.7506,-68.5145,-16.31,62,20,9.22,few clouds
214,Ponta Delgada,PT,37.7333,-25.6667,61.5,94,20,4.61,few clouds
215,Rapid Valley,US,44.0625,-103.1463,28.15,61,0,20.71,clear sky
216,Valdivia,CL,-39.8142,-73.2459,50.09,64,0,2.91,clear sky
217,Mahebourg,MU,-20.4081,57.7,73.26,73,67,5.97,broken clouds
218,Saskylakh,RU,71.9167,114.0833,-28.25,98,100,8.32,overcast clouds
219,Talaya,RU,61.3833,152.75,-19.61,97,100,2.13,overcast clouds
220,Upernavik,GL,72.7868,-56.1549,7.18,91,100,19.77,overcast clouds
221,Ratnagiri,IN,16.9833,73.3,71.92,45,48,6.42,scattered clouds
222,Male,MV,4.1748,73.5089,81.1,68,29,2.46,scattered clouds
223,Kolomak,UA,49.8399,35.3044,29.43,42,100,15.32,overcast clouds
224,Hofn,IS,64.2539,-15.2082,47.62,87,89,15.99,overcast clouds
225,Nagtipunan,PH,16.2167,121.6,81.09,78,62,4.43,broken clouds
226,Antofagasta,CL,-23.65,-70.4,63.68,80,8,4.54,clear sky
227,Xichang,CN,27.8964,102.2634,51.48,69,60,2.01,broken clouds
228,Rorvik,NO,64.8621,11.2373,37.51,65,100,10.36,overcast clouds
229,Geraldton,AU,-28.7667,114.6,73.81,56,100,10.36,overcast clouds
230,Honjo,JP,36.2333,139.1833,52.43,54,100,1.19,overcast clouds
231,Sotouboua,TG,8.5667,0.9833,72.52,34,1,0.69,clear sky
232,Senneterre,CA,48.3835,-77.2328,25.5,82,98,13.33,overcast clouds
233,Hami,CN,42.8,93.45,12.76,19,48,1.77,scattered clouds
234,San Juan,AR,-31.5375,-68.5364,75.43,38,100,9.19,moderate rain
235,Makakilo City,US,21.3469,-158.0858,80.92,67,75,8.05,broken clouds
236,Kiama,AU,-34.6833,150.8667,69.46,63,99,8.88,overcast clouds
237,Palmer,US,42.1584,-72.3287,47.91,68,75,19.57,broken clouds
238,Whitehorse,CA,60.7161,-135.0538,-9.18,76,75,16.11,broken clouds
239,Sinnamary,GF,5.3833,-52.95,76.57,87,79,8.55,broken clouds
240,Puerto Suarez,BO,-18.95,-57.8,73.96,81,100,6.02,overcast clouds
241,Norman Wells,CA,65.282,-126.8329,-9.36,77,100,2.3,light snow
242,Junin,AR,-34.5838,-60.9433,66.88,93,100,8.5,overcast clouds
243,Kangaatsiaq,GL,68.3065,-53.4641,17.55,77,100,30.49,overcast clouds
244,Manama,BH,26.2154,50.5832,75.18,78,0,2.3,clear sky
245,Horki,BY,54.2861,30.9842,18.12,91,99,8.08,overcast clouds
246,Kavieng,PG,-2.5744,150.7967,84.79,66,97,4.29,overcast clouds
247,Aksarka,RU,66.5606,67.7975,-8.41,98,6,4.94,clear sky
248,Lavrentiya,RU,65.5833,-171.0,18.99,92,85,6.85,overcast clouds
249,Tire,TR,38.0888,27.7351,52.54,83,2,4.83,clear sky
250,Touros,BR,-5.1989,-35.4608,78.35,71,97,10.29,overcast clouds
251,Ishigaki,JP,24.3448,124.1572,71.73,88,75,24.16,broken clouds
252,Qandala,SO,11.472,49.8728,76.37,85,6,4.03,light rain
253,Dakar,SN,14.6937,-17.4441,76.98,69,18,17.47,few clouds
254,Guerrero Negro,MX,27.9769,-114.0611,59.68,74,13,11.48,few clouds
255,Port Washington,US,40.8257,-73.6982,50.9,63,40,19.57,scattered clouds
256,Menongue,AO,-14.6585,17.691,63.9,81,45,2.35,scattered clouds
257,Tarko-Sale,RU,64.9225,77.785,-9.49,95,26,8.32,scattered clouds
258,Olafsvik,IS,64.8945,-23.7142,43.27,85,47,32.28,light rain
259,Tifton,US,31.4505,-83.5085,60.76,71,36,14.63,scattered clouds
260,Ahuimanu,US,21.4447,-157.8378,82.11,66,40,10.36,scattered clouds
261,Saldanha,ZA,-33.0117,17.9442,62.65,92,100,6.71,overcast clouds
262,Vilyuysk,RU,63.7553,121.6247,-25.67,96,100,5.84,overcast clouds
263,Santiago Del Estero,AR,-27.7951,-64.2615,72.25,74,89,6.42,overcast clouds
264,Somerset,US,40.5668,-74.5496,47.01,57,0,9.22,clear sky
265,Necochea,AR,-38.5473,-58.7368,58.5,86,100,14.16,light rain
266,Togur,RU,58.3631,82.8265,-23.85,100,7,3.24,clear sky
267,Namanyere,TZ,-7.5167,31.05,61.18,92,100,3.89,light rain
268,Dingle,PH,10.9995,122.6711,82.4,78,87,14.52,overcast clouds
269,Synya,RU,65.3718,58.0387,-10.57,100,100,2.66,overcast clouds
270,Road Town,VG,18.4167,-64.6167,80.64,78,40,6.91,scattered clouds
271,Ardesen,TR,41.1911,40.9875,58.24,76,30,1.23,scattered clouds
272,Caravelas,BR,-17.7125,-39.2481,75.09,95,100,3.31,overcast clouds
273,Nogales,MX,31.3086,-110.9422,55.44,37,0,5.75,clear sky
274,Clyde River,CA,70.4692,-68.5914,-28.97,68,0,3.44,clear sky
275,Naze,JP,28.3667,129.4833,59.92,74,98,19.35,overcast clouds
276,Hamilton,US,39.1834,-84.5333,32.81,64,0,11.5,clear sky
277,Faya,SA,18.3851,42.4509,48.72,81,14,0.74,few clouds
278,High Level,CA,58.5169,-117.136,-23.69,76,0,0.0,clear sky
279,Nivala,FI,63.9167,24.9667,26.69,99,93,3.09,overcast clouds
280,Pangody,RU,65.85,74.4859,-13.07,97,17,4.83,few clouds
281,Batemans Bay,AU,-35.7167,150.1833,65.1,62,83,6.4,broken clouds
282,Macesu De Jos,RO,43.8833,23.7167,38.98,63,100,10.71,overcast clouds
283,Whithorn,JM,18.2604,-78.0378,76.26,89,5,4.54,clear sky
284,Inongo,CD,-1.95,18.2667,68.52,94,100,3.56,overcast clouds
285,Creston,US,41.0586,-94.3614,19.33,79,0,6.91,clear sky
286,Mariental,NA,-24.6333,17.9667,80.4,33,97,6.76,overcast clouds
287,Nemuro,JP,43.3236,145.575,29.62,51,50,22.55,scattered clouds
288,Bilma,NE,18.6853,12.9164,63.16,33,0,8.77,clear sky
289,Komsomolskiy,UZ,40.4272,71.7189,50.72,53,100,23.02,overcast clouds
290,Wajid,SO,3.8093,43.2471,72.37,77,50,12.88,scattered clouds
291,Belaya Gora,RU,68.5333,146.4167,-15.97,100,100,2.44,overcast clouds
292,Flinders,AU,-34.5833,150.8552,69.26,63,100,9.17,overcast clouds
293,Rivadavia,AR,-33.1905,-68.4608,75.16,28,53,7.16,broken clouds
294,Awbari,LY,26.5921,12.7805,49.15,37,0,0.98,clear sky
295,Lasa,IT,46.6166,10.7002,32.02,80,47,1.66,scattered clouds
